                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.20496,                0.98857,                0.92193,                0.64782,                0.84649,                0.89135,                0.80362,                0.38317,                 1.6952,                0.53461,               0.003763,               0.003763,               0.003763
                     65,                0.28157,                 1.0121,                 1.0601,                0.69595,                 0.8125,                0.86134,                0.76185,                0.41516,                 1.8461,                0.52331,               0.003664,               0.003664,               0.003664
                     66,                0.18319,                0.88071,                0.93669,                0.78344,                      1,                  0.995,                0.84075,                 0.4058,                 1.2876,                0.49403,               0.003565,               0.003565,               0.003565
                     67,                 0.1736,                0.97659,                0.93998,                0.73679,                0.96875,                0.98458,                0.91176,                0.37224,                 1.1388,                0.49031,               0.003466,               0.003466,               0.003466
                     68,                0.17677,                0.96217,                0.95714,                0.73644,                0.98354,                 0.9825,                0.91174,                0.36527,                 1.0944,                0.51491,               0.003367,               0.003367,               0.003367
                     69,                0.17389,                0.95542,                0.96627,                 0.8031,                0.81498,                0.97677,                0.95073,                0.34165,                   1.08,                0.48061,               0.003268,               0.003268,               0.003268
                     70,                 0.2037,                0.84443,                0.89668,                0.85434,                0.80188,                  0.995,                0.97165,                0.30518,                 1.0925,                0.43883,               0.003169,               0.003169,               0.003169
                     71,                0.17017,                0.83295,                0.93272,                0.63106,                0.93207,                0.98458,                0.98223,                 0.2717,                 1.1171,                0.40847,                0.00307,                0.00307,                0.00307
                     72,                0.15168,                0.94384,                0.93951,                0.83416,                   0.75,                0.93458,                0.92629,                0.33195,                 1.3128,                 0.4625,               0.002971,               0.002971,               0.002971
                     73,                 0.1555,                0.86691,                0.91202,                0.80653,                0.81397,                0.96375,                0.96375,                0.29791,                 1.2073,                0.40496,               0.002872,               0.002872,               0.002872
                     74,                 0.1814,                0.94834,                0.90724,                0.73757,                0.95955,                  0.995,                  0.995,                0.27801,                 1.0329,                0.38799,               0.002773,               0.002773,               0.002773
                     75,                0.15916,                0.84656,                0.93586,                0.77215,                0.87001,                  0.995,                0.93698,                0.36484,                 1.1473,                0.46591,               0.002674,               0.002674,               0.002674
                     76,                0.18072,                0.91681,                0.94087,                0.78304,                0.71875,                0.90583,                0.80494,                 0.4171,                 1.2855,                 0.4929,               0.002575,               0.002575,               0.002575
                     77,                0.18715,                0.96891,                0.94395,                 0.5806,                      1,                0.91208,                0.87379,                0.41998,                 1.2991,                0.51522,               0.002476,               0.002476,               0.002476
                     78,                 0.1465,                0.72224,                0.92536,                0.71063,                0.84305,                  0.995,                0.98264,                0.37712,                 1.2628,                0.49648,               0.002377,               0.002377,               0.002377
                     79,                0.14548,                0.89619,                0.88693,                0.66785,                0.94518,                  0.995,                0.98199,                0.32419,                 1.2314,                0.45199,               0.002278,               0.002278,               0.002278
                     80,                0.14557,                0.76609,                0.91851,                0.82787,                 0.8212,                0.96375,                0.95834,                0.29891,                 1.2137,                0.43196,               0.002179,               0.002179,               0.002179
                     81,                0.14677,                0.79953,                0.90957,                0.94259,                0.71267,                0.98589,                0.98125,                0.32549,                 1.1932,                0.45982,                0.00208,                0.00208,                0.00208
                     82,                 0.1438,                0.82801,                0.95825,                0.66051,                0.96386,                  0.995,                0.99101,                0.27393,                 1.0644,                0.41293,               0.001981,               0.001981,               0.001981
                     83,                0.16806,                 0.9563,                 0.9733,                0.64835,                0.96293,                  0.995,                0.98096,                0.28505,                 1.1053,                0.42947,               0.001882,               0.001882,               0.001882
                     84,                0.12808,                0.70242,                0.89693,                0.61018,                0.99279,                  0.995,                0.97844,                0.23803,                 1.1716,                 0.3742,               0.001783,               0.001783,               0.001783
                     85,                0.13816,                0.89886,                0.95139,                0.88423,                   0.75,                  0.995,                0.98057,                0.24293,                 1.1985,                0.38385,               0.001684,               0.001684,               0.001684
                     86,                0.13996,                0.72127,                0.90641,                0.87748,                   0.75,                0.97417,                0.95973,                  0.244,                 1.2478,                0.38667,               0.001585,               0.001585,               0.001585
